External ID,Summary,Issue Type,Story Points,Due Date,Sprint,Epic Link,Depends On,Labels,Description
RDMI-EPIC-1,Two-Tenant MVP,Epic,,2026-07-24,,,,mvp;rdm-insight,"Stand up multi-tenant building intelligence platform supporting WACH + Cyberview, with per-tenant dashboard, chat, auth, and isolation. Scope = Plans A/B/C; out-of-scope = MQTT ingest, anomaly, optimization, ML (Phase 2+). Spec: docs/superpowers/specs/2026-05-25-rdm-insight-platform-design.md."
RDMI-001,Spec walkthrough with stakeholders,Task,3,2026-05-26,Sprint 0 - Planning,RDMI-EPIC-1,,planning;design,"Walk through 2026-05-25-rdm-insight-platform-design.md with stakeholders. Capture pushback on scope, MVP definition, tenancy model."
RDMI-002,Plans A/B/C engineering review,Task,3,2026-05-26,Sprint 0 - Planning,RDMI-EPIC-1,,planning;engineering,"Walk through each plan, validate task granularity, identify missing tasks, confirm async cascade + N+1 + scoring-guard fixes are clear."
RDMI-003,WACH source audit - portability matrix,Task,4,2026-05-28,Sprint 0 - Planning,RDMI-EPIC-1,,planning;wach,"Walk $WACH/backend/{core,rag,llm,models,routes}. List files that lift verbatim, files that need an interface seam, files to leave behind. Output: docs/superpowers/notes/2026-05-28-wach-port-audit.md."
RDMI-004,Extract WACH scoring formula (spike),Task,3,2026-05-28,Sprint 0 - Planning,RDMI-EPIC-1,,planning;wach;spike,"Find the real compute_health_score in $WACH/backend/core/. Document inputs, weights, edge cases. Save as docs/superpowers/notes/2026-05-28-wach-scoring-formula.md so RDMI-035 can paste it in without re-deriving."
RDMI-005,Cyberview MQTT middleware contract spike,Task,3,2026-05-28,Sprint 0 - Planning,RDMI-EPIC-1,,planning;cyberview;spike,"Document MQTT topic schema, payload shape, auth model of the existing Cyberview middleware. Decide: ingest now vs. fixtures for MVP demo. Output: ADR."
RDMI-006,Auth + tenancy threat-model review,Task,2,2026-05-29,Sprint 0 - Planning,RDMI-EPIC-1,,planning;security,"Walk JWT claim shape, refresh-token rotation, cross-tenant 403 surface. Confirm app-layer isolation acceptable vs RLS for MVP."
RDMI-007,Jira + sprint setup,Task,2,2026-05-29,Sprint 0 - Planning,RDMI-EPIC-1,,planning;tooling,"Create epic RDMI-EPIC-1. Create sprints (1-week: Sprint 1 = Jun 2-5, Sprint 2 = Jun 8-12, ...). Import all execution tickets as backlog."
RDMI-008,MVP scope sign-off + Phase 2+ roadmap presentation,Task,3,2026-05-29,Sprint 0 - Planning,RDMI-EPIC-1,,planning;stakeholders,"Final go/no-go on MVP scope. Walk Phase 2 (MQTT) / 3 (anomaly) / 4 (optimization) / 5 (ML) roadmap. Lock scope."
RDMI-009,Bootstrap monorepo + docker infra,Task,3,2026-06-02,Sprint 1 - Plan A foundation,RDMI-EPIC-1,RDMI-008,backend;infra,"Plan A Tasks 1-2: pnpm workspace, Turborepo, .gitignore, README, infra/docker-compose.yml (postgres + chroma)."
